Nome,Razão Social,Codigo,Setor,Segmento
CYRELA CRÉDITO - FUNDO DE INVESTIMENTO IMOBILIÁRIO,FII CYRELA,CYCR,Fundo Misto,Indefinido
CYRELA DESENVOLVIMENTO LOGÍSTICO FDO INV IMOB,FII CYLD,CYLD,Fundo de Tijolo,Imóveis Industriais e Logísticos
DAMA FUNDO DE INVESTIMENTO IMOBILIÁRIO RESP LIMITA,FII DAMA,DAMA,Fundo Misto,Misto
DAYCOVAL METROPOLIS FUND INVESTIMENTO IMOBILIÁRIO,FII ASA MET,ASMT,Fundo de Tijolo,Lajes Corporativas
DAYCOVAL RETROFITS I FDO DE INV IMOB - FII,FII ASA RET,ASRF,Fundo Misto,Indefinido
DEL MONTE AJAX FDO INV IMOB - FII,FII DEL MONT,DLMT,Fundo de Tijolo,Varejo
DEVANT PROPERTIES FUNDO DE INVESTIMENTO IMOB,FII DEVA PRO,DPRO,Fundo Misto,Indefinido
DEVANT RECEBÍVEIS IMOBILIÁRIOS FDO. INVEST. IMOB.,FII DEVANT,DEVA,Fundo de Papel,Papéis
EDGE FDO DE INV IMOB RESP LIM,FII EDGE,EDGE,Fundo de Papel,Papéis
EMET MULTIESTRATÉGIA FDO DE INV IMOB,FII EMET,EMET,Fundo Misto,Misto
ENERGY RESORT FDO. INVEST. IMOB.,FII ENERGY,EGYR,Fundo Misto,Fundo de Desenvolvimento
EQI RECEBÍVEIS IMOBILIÁRIOS FDO DE INV IMOBILIÁRIO,FII EQI RECE,EQIR,Fundo Misto,Indefinido
ESTOQUE RESIDENCIAL E COMERCIAL RJ FDO INV IMOB,FII ESTOQ RJ,ERCR,Fundo de Tijolo,Varejo
EUROPA 105 - FDO INV IMOB,FII EUROPA,ERPA,Fundo de Tijolo,Lajes Corporativas
EVEN II KINEA FUNDO DE INVESTIMENTO IMOBILIÁRIO,FII EVEN II,KEVE,Fundo Misto,Fundo de Desenvolvimento
EXES FUNDO DE INVESTIMENTO IMOBILIÁRIO,FII EXES,EXES,Fundo Misto,Indefinido
FARIA LIMA CAPITAL RECEB. IMOB. I - FDO INV. IMOB.,FII FL RECEB,FLCR,Fundo de Papel,Papéis
